80023;Novasan;700,64;Other
23445;Pantoplex;2193,94;Scurvy
49638;Memomox;2487,26;Septicemia
74686;Cloudisup;1690,08;Atrophy
70099;Wirkobald;1613,09;Bullous pemphigoid
52917;Agsunda;1153,46;Uremia
50041;Healthi;2007,83;Thromobose
11320;Cardiosan;1091,27;Gastroenteritis
95066;Ophtagut;664,56;Neuroscience
38474;Neurolax;642,05;Gynecology
48040;Oncoclass;1970,68;Metabolism
42844;Flammiwex;366,52;Chlamydophila pneumoniae infection
53595;Immotoll;817,32;Progesterone dermatitis
73596;Vaxxivir;1751,34;Pediculosis pubis
14437;Metabolo;1798,44;Mucha-Habermann disease
45566;Callogen;886,14;Rickets
96612;Gubavir;665,05;Infectious Diseases
22448;Neolido;1012,52;Autoimmune hepatitis
19582;Medosanus;262,37;Pneumonia
87215;Ductpro;531,89;Immunology
36590;Sempersan;840,72;Raynauds phenomenon
88635;Semperlax;285,15;Infertility
81968;Sanomax;1633,32;Granuloma inguinale
33608;Maxxibald;1829,88;Rheumatic heart
80327;Vagria;960,02;Axonal & neuronal neuropathies
40918;Tepanthan;2359,13;Cardiovascular
82988;Guloklax;418,73;Strongyloidiasis
79312;Atokanvers;1187,81;Ophtalmology
48687;Maximmol;1435,89;Oncology
26725;Dulkplax;1293,97;Tuberculosis
39657;Advertasium;1180,42;Rickets
61921;Exuxime;718,87;Chlamydophila pneumoniae infection
47434;Benefibutrol;1465;Infertility
70252;Alapirin;2313,61;Strongyloidiasis
10766;Augmenmentin;1871,32;Gastroenteritis
72540;Oxymostrin;2253,25;Pneumonia
93006;Ganivirine;2317,2;Atrophy
16543;Trazonone Palodocin;2349,49;Progesterone dermatitis
82464;Argaramine Benepex;762,32;Septicemia
71235;Varitora Silocetam;1600,92;Tuberculosis
94756;Temasonide;450,94;Bullous pemphigoid
65175;Acunalin;1553,99;Metabolism
77903;Maladocin;2025,11;Infectious Diseases
25728;Temaruvax;2801,14;Cardiovascular
28388;Apexikeran;2322,08;Granuloma inguinale
40715;Aquamin;1947,52;Autoimmune hepatitis
66571;Epinebital Betiloride;2455,33;Mucha-Habermann disease
88374;Acderall Isoprine;679,75;Other
54272;Adsate Dextrogestin;801,95;Pediculosis pubis
11683;Metholimus Lactuprox;2336,27;Neuroscience
76085;Amiozide;2930,79;Rheumatic heart
70998;Boosset;2530,71;Immunology
79762;Beclovirine;250,33;Thromobose
15309;Pitobicin;1718,93;Raynauds phenomenon
26716;Vitraplex;384,4;Oncology
69353;Ombisate;1712,58;Axonal & neuronal neuropathies
91225;Aggradene Betiracil;1609,8;Scurvy
62091;Gemnel Benepen;2759,37;Gynecology
35652;Aquaposide Abrabazine;2424,44;Ophtalmology
97807;Phosderm;1578,1;Uremia
42829;Acitretoin;2990,68;Neuroscience
39975;Synzepam;632,16;Progesterone dermatitis
89244;Amphodocin;649,33;Bullous pemphigoid
40066;Alduprex;873,31;Infectious Diseases
84330;Synfetan;1560,02;Gastroenteritis
57884;Alsubide Clinotinoin;2710,12;Cardiovascular
60170;Edroneva Gynagine;163,61;Mucha-Habermann disease
12984;Drospipirox Magnefenide;818,8;Pneumonia
36479;Erotriptan;1125,08;Immunology
49880;Oloside;1595,51;Strongyloidiasis
97156;Fenomenda;952,57;Oncology
57810;Caffemara;2713,25;Autoimmune hepatitis
70892;Tramaxacin;1307,05;Tuberculosis
24570;Actinavir;1006,14;Thromobose
47860;Acetylnil Amiprosyn;2641,08;Infertility
77249;Oxymonitor Aflidosyn;2461,37;Rheumatic heart
64727;Navelgard Aldacspan;2963,64;Atrophy
95055;Pamiranon;2371,77;Septicemia
56077;Phostane;1651,99;Rickets
20148;Symrudin;1182,39;Uremia
14517;Finadox;2859,95;Raynauds phenomenon
66358;Ademgen;2299,78;Chlamydophila pneumoniae infection
65437;Antadocin;545,5;Axonal & neuronal neuropathies
31808;Alosezoxane Enamide;1232,35;Pediculosis pubis
25101;Ganivid Alduratrol;2381,69;Other
14328;Epinidine Levamicin;2551,65;Gynecology
45976;Prepotiza;1748,16;Ophtalmology
82792;Afatidarone;662,25;Scurvy
54396;Vibrabegron;2863,35;Metabolism
38229;Levofribrate;1125,08;Granuloma inguinale
46620;Ketotora;233,99;Gynecology
84038;Neobutrol;2174,41;Ophtalmology
99423;Insovarix Betacaine;2687,62;Uremia
43983;Infuramine Alobicin;1098,21;Neuroscience
25966;Bacterimide Pleritaxime;1108,34;Progesterone dermatitis
68635;Admumab Cerecline;2938,28;Bullous pemphigoid
15424;Transriva;2882,77;Infectious Diseases
32630;Tolenide;1393,15;Gastroenteritis
30256;Tracnam;2171,66;Cardiovascular
66086;Epineruvax;2314,41;Pneumonia
