21;Brand activation manager
22;Brand manager
23;Brand marketing manager
24;Brand strategist
25;Director of brand marketing
26;Director of brand strategy
27;Content director
28;Content manager
29;Content marketing manager
30;Content marketing producer
31;Content specialist
32;Content strategist
33;Content writer
34;Content director
35;Content manager
36;Content marketing manager
37;Content marketing producer
38;Content specialist
39;Content strategist
40;Content writer
41;Digital marketing manager
42;Digital strategist
43;Director of digital marketing
44;Director of web marketing
45;Director of SEO operations
46;Internet marketing specialist
47;Internet marketing specialist
48;Internet marketing specialist
49;Internet marketing specialist
50;Paid search manager
51;Pay-per-click manager
52;SEM manager
53;SEM specialist
54;SEO manager
55;SEO specialist
56;Web marketing manager
57;Web marketing specialis
58;Demand generation manager
59;Director of email marketing
60;Ecommerce content specialist
61;Ecommerce marketing analyst
62;Ecommerce marketing director
63;Ecommerce marketing manager
64;Email developer
65;Email marketer
66;Email marketing strategist
67;Email operations manager
68;Email developer
69;Email marketer
70;Email marketing strategist
71;Email operations manager
72;Analyst relations manager
73;Analyst relations specialist
74;Corporate communications assistant
75;Corporate communications manager
76;Director of communications
77;Marketing communications manager
78;Marketing communications specialist
79;Media relations coordinator
80;Public relations manager
81;Publicity assistant
82;Public relations intern
83;Public relations intern
84;Public relations intern
85;Public relations intern
86;Public relations intern
87;Public relations intern
88;Public relations intern
89;Director of market research
90;Insights analyst
91;Insights analyst
92;Insights analyst
93;Insights analyst
94;Insights analyst
95;Insights analyst
96;Insights analyst
97;Market research analyst
98;Market research interviewer
99;Marketing data analyst
100;Product research analyst
101;Qualitative research assistant
102;Affiliate marketing manager
103;Channel marketing director
104;Corporate partnership marketing manager
105;Director of influencer marketing and partnerships
106;Partner marketing advisor
107;Partnership marketing director
108;Partnership marketing manager
109;Digital product marketing manager
110;Director of product marketing
111;Junior product marketing associate
112;Junior product marketing associate
113;Junior product marketing associate
114;Junior product marketing associate
115;Portfolio marketing manager
116;Product marketing manager
117;Senior product marketing manager
118;Solutions marketing manager
119;Multimedia communications specialist
120;Social media editor
121;Social media editor
122;Social media editor
123;Social media manager
124;Social media manager
125;Social media manager
